Idle, RunForward, Move Forward, ObstructionVisibleForward, choice, PickDiamond, DiamondCollected, 
Idle, RunForward, Move Forward, ObstructionVisibleForward, choice, StopMoving, TreeAhead, 
Idle, RunForward, Move Forward, ObstructionVisibleForward, choice, Drown, WaterAhead, 
Idle, RunForward, Move Forward, ObstructionVisibleForward, choice, GetHit, AutumnTreeCollided, 
Idle, RunForward, Move Forward, ObstructionVisibleForward, choice, CollectBonus, Bonus Added, 
Idle, RunForward, Move Forward, ObstructionVisibleForward, choice, CheckHealth, ZeroHealth, 
Idle, RunForward, Move Forward, ObstructionVisibleForward, choice, CheckBonus, BonusComplete, 
Idle, RunForward, Move Forward, ObstructionVisibleForward, choice, CheckDiamondsCollected, DiamondsComplete, 
Idle, RunBackward, Move backward, ObstructionVisibleBackward, choice, PickDiamond, DiamondCollected, 
Idle, RunBackward, Move backward, ObstructionVisibleBackward, choice, StopMoving, TreeAhead, 
Idle, RunBackward, Move backward, ObstructionVisibleBackward, choice, Drown, WaterAhead, 
Idle, RunBackward, Move backward, ObstructionVisibleBackward, choice, GetHit, AutumnTreeCollided, 
Idle, RunBackward, Move backward, ObstructionVisibleBackward, choice, CollectBonus, Bonus Added, 
Idle, RunBackward, Move backward, ObstructionVisibleBackward, choice, CheckHealth, ZeroHealth, 
Idle, RunBackward, Move backward, ObstructionVisibleBackward, choice, CheckBonus, BonusComplete, 
Idle, RunBackward, Move backward, ObstructionVisibleBackward, choice, CheckDiamondsCollected, DiamondsComplete, 
Idle, RunDown, Move Down, ObstructionVisibleDown, choice, PickDiamond, DiamondCollected, 
Idle, RunDown, Move Down, ObstructionVisibleDown, choice, StopMoving, TreeAhead, 
Idle, RunDown, Move Down, ObstructionVisibleDown, choice, Drown, WaterAhead, 
Idle, RunDown, Move Down, ObstructionVisibleDown, choice, GetHit, AutumnTreeCollided, 
Idle, RunDown, Move Down, ObstructionVisibleDown, choice, CollectBonus, Bonus Added, 
Idle, RunDown, Move Down, ObstructionVisibleDown, choice, CheckHealth, ZeroHealth, 
Idle, RunDown, Move Down, ObstructionVisibleDown, choice, CheckBonus, BonusComplete, 
Idle, RunDown, Move Down, ObstructionVisibleDown, choice, CheckDiamondsCollected, DiamondsComplete, 
Idle, RunUp, Move Up, ObstructionVisibleUp, choice, PickDiamond, DiamondCollected, 
Idle, RunUp, Move Up, ObstructionVisibleUp, choice, StopMoving, TreeAhead, 
Idle, RunUp, Move Up, ObstructionVisibleUp, choice, Drown, WaterAhead, 
Idle, RunUp, Move Up, ObstructionVisibleUp, choice, GetHit, AutumnTreeCollided, 
Idle, RunUp, Move Up, ObstructionVisibleUp, choice, CollectBonus, Bonus Added, 
Idle, RunUp, Move Up, ObstructionVisibleUp, choice, CheckHealth, ZeroHealth, 
Idle, RunUp, Move Up, ObstructionVisibleUp, choice, CheckBonus, BonusComplete, 
Idle, RunUp, Move Up, ObstructionVisibleUp, choice, CheckDiamondsCollected, DiamondsComplete, 
